"Sample_Name","Staining_Protocol","Expt_Date","Date_Measurement","Location","Station_Number","Depth","Sample_Type","Timepoint","Replicate","c_Bacteria","c_HNA","c_LNA","c_Viruses","c_V1","c_V2","c_V3","VBR","HNAperLNA"
"BA210623.179","Bacteria","2020-09-18","2021-06-23","PE477",3,1,"VPC",12,2,268897.058823529,124959.762406591,143937.296416938,NA,NA,NA,NA,NA,0.86815415821501
"BA210623.132","Bacteria","2020-09-18","2021-06-23","PE477",3,1,"VP",12,3,252352.941176471,132219.544482536,120133.396693934,NA,NA,NA,NA,NA,1.10060606060606
"BA210623.180","Bacteria","2020-09-18","2021-06-23","PE477",3,1,"VPC",12,3,244044.117647059,122532.611370908,121511.506276151,NA,NA,NA,NA,NA,1.00840336134454
"BA210623.085","Bacteria","2020-09-18","2021-06-23","PE477",3,1,"0.22",24,1,83750,8999.13344887348,74750.8665511265,NA,NA,NA,NA,NA,0.120388349514563
"BA210623.133","Bacteria","2020-09-18","2021-06-23","PE477",3,1,"VP",24,1,257352.941176471,143896.268184693,113456.672991777,NA,NA,NA,NA,NA,1.26829268292683
"BA210623.181","Bacteria","2020-09-18","2021-06-23","PE477",3,1,"VPC",24,1,260220.588235294,125075.178977929,135145.409257365,NA,NA,NA,NA,NA,0.92548596112311
"BA210623.086","Bacteria","2020-09-18","2021-06-23","PE477",3,1,"0.22",24,2,49632.3529411765,8775.57544757033,40856.7774936061,NA,NA,NA,NA,NA,0.214788732394366
"BA210623.134","Bacteria","2020-09-18","2021-06-23","PE477",3,1,"VP",24,2,284264.705882353,150150.075414781,134114.630467572,NA,NA,NA,NA,NA,1.1195652173913
"BA210623.182","Bacteria","2020-09-18","2021-06-23","PE477",3,1,"VPC",24,2,243161.764705882,121362.080525071,121799.684180811,NA,NA,NA,NA,NA,0.996407185628742
"BA210623.087","Bacteria","2020-09-18","2021-06-23","PE477",3,1,"0.22",24,3,68750,7526.31578947368,61223.6842105263,NA,NA,NA,NA,NA,0.122931442080378
"BA210623.135","Bacteria","2020-09-18","2021-06-23","PE477",3,1,"VP",24,3,252058.823529412,144304.040507017,107754.783022394,NA,NA,NA,NA,NA,1.33918918918919
"BA210623.183","Bacteria","2020-09-18","2021-06-23","PE477",3,1,"VPC",24,3,242132.352941176,130547.262579731,111585.090361446,NA,NA,NA,NA,NA,1.16993464052288
"VI210623.074","Viruses","2020-09-18","2021-06-23","PE477",3,1,"0.22",0,1,7941.17647058824,4067.4318507891,3873.74461979914,13095882.3529412,8341469.57810778,4331512.73810149,422900.03673191,1649.11111111111,1.05
"VI210623.092","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",0,1,240882.352941176,123603.116664327,117279.23627685,3084264.70588235,1923301.45557945,1020457.22222829,140506.028074618,12.8040293040293,1.05392156862745
"VI210623.140","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",0,1,198235.294117647,107365.392872477,90869.9012451696,2906176.47058824,1769371.99733352,923582.65521918,213221.818035538,14.660237388724,1.18152866242038
"VI210623.075","Viruses","2020-09-18","2021-06-23","PE477",3,1,"0.22",0,2,9705.88235294118,4543.17897371715,5162.70337922403,12836764.7058824,8051778.09402612,4359810.21085156,425176.401004679,1322.57575757576,0.88
"VI210623.093","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",0,2,259117.647058824,130422.549019608,128695.098039216,3045735.29411765,1895753.52626258,1014386.90269007,135594.865165001,11.7542565266742,1.01342281879195
"VI210623.141","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",0,2,212941.176470588,112989.195678271,99951.9807923169,2780000,1712448.25124911,938005.506271031,129546.242479861,13.0552486187845,1.1304347826087
"VI210623.076","Viruses","2020-09-18","2021-06-23","PE477",3,1,"0.22",0,3,10882.3529411765,4480.96885813149,6401.38408304498,12113823.5294118,7605254.62178799,4099335.86292038,409233.044703388,1113.16216216216,0.7
"VI210623.094","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",0,3,222647.058823529,115914.190418435,106732.868405094,3011323.52941176,1850262.41550751,1015785.48684431,145275.627059941,13.5250990752972,1.08602150537634
"VI210623.142","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",0,3,197647.058823529,104755.834984067,92891.2238394626,2654411.76470588,1647263.42029349,890840.963250972,116307.38116142,13.4300595238095,1.12772585669782
"VI210623.095","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",3,1,242941.176470588,121326.836059868,121614.34041072,3249264.70588235,2096734.26694957,1009538.72112387,142991.717808916,13.3746973365617,0.997635933806147
"VI210623.143","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",3,1,201764.705882353,109711.368047937,92053.3378344164,2865588.23529412,1819867.0383186,918872.519893281,126848.677082241,14.2026239067055,1.19182389937107
"VI210623.096","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",3,2,226176.470588235,118828.754852195,107347.715736041,3137205.88235294,1995180.48860354,1007181.08177748,134844.311971914,13.870611183355,1.10695187165775
"VI210623.144","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",3,2,199117.647058824,104189.466484268,94928.1805745554,2830588.23529412,1781917.55627995,925848.281390921,122822.397623244,14.2156573116691,1.09756097560976
"VI210623.097","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",3,3,227647.058823529,110522.216452785,117124.842370744,3285441.17647059,2115672.77294795,1034762.05261375,135006.350908886,14.4321705426357,0.943627450980392
"VI210623.145","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",3,3,194705.882352941,98654.8378638231,96051.0444891181,2728823.52941176,1742447.16385464,874198.00807274,112178.357484383,14.0151057401813,1.02710843373494
"VI210623.098","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",6,1,212058.823529412,102017.488076312,110041.3354531,2894558.82352941,1919898.33740661,849257.217245923,125403.268876879,13.6497919556172,0.927083333333333
"VI210623.146","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",6,1,186176.470588235,101182.864450128,84993.6061381074,2742352.94117647,1806796.64282285,827607.494697435,107948.803656187,14.7298578199052,1.19047619047619
"VI210623.099","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VP",6,2,222647.058823529,110749.696785931,111897.362037599,3294264.70588235,2210127.12168056,944822.178088082,139315.406113716,14.7959048877147,0.98974358974359
"VI210623.147","Viruses","2020-09-18","2021-06-23","PE477",3,1,"VPC",6,2,193529.411764706,96620.0650663853,96909.3466983206,2691764.70588235,1792810.99375692,783434.62092947,115519.091195961,13.9088145896657,0.997014925373135
