Location,Station_Number,Depth,Time_Range,Population,Sample_Type,VP,abs_VP,VP_SE,VP_R_Squared,VP_Method
CR,2,1,T0_T9,c_Viruses,VP,91751.18257,825760.6431,9887.556918,0.97730068,LM_AR
CR,2,1,T0_T12,c_Viruses,VP,67961.4034,815536.8408,14874.10922,0.874354722,LM_AR
CR,2,1,T0_T24,c_Viruses,VP,77091.25317,1850190.076,6959.05997,0.9684339,LM_AR
CR,3,1,T0_T3,c_Viruses,VP,182682.0587,548046.176,NA,1,LM_AR
CR,3,1,T0_T6,c_Viruses,VP,190721.9817,1144331.89,4641.851731,0.999407997,LM_AR
CR,3,1,T0_T9,c_Viruses,VP,190899.8557,1718098.701,2078.437847,0.999762977,LM_AR
CR,3,1,T0_T12,c_Viruses,VP,261296.8226,3135561.871,40661.41844,0.9322731,LM_AR
CR,3,1,T0_T24,c_Viruses,VP,72286.28512,1734870.843,57333.10773,0.284391375,LM_AR
CR,4,1,T0_T3,c_Viruses,VP,284571.4286,853714.2857,NA,1,LM_AR
CR,4,1,T0_T6,c_Viruses,VP,291627.866,1749767.196,4074.036027,0.999804878,LM_AR
CR,4,1,T0_T9,c_Viruses,VP,236919.224,2132273.016,31638.55332,0.965561627,LM_AR
CR,4,1,T0_T12,c_Viruses,VP,254062.7866,3048753.439,20775.78555,0.980333464,LM_AR
CR,4,1,T0_T24,c_Viruses,VP,107956.9444,2590966.667,43125.87386,0.610383454,LM_AR
CR,5,1,T0_T3,c_Viruses,VP,150679.0123,452037.037,NA,1,LM_AR
CR,5,1,T0_T6,c_Viruses,VP,242330.2469,1453981.481,52914.86495,0.954489532,LM_AR
CR,5,1,T0_T12,c_Viruses,VP,205154.321,2461851.852,22907.33766,0.975671162,LM_AR
CR,5,1,T0_T24,c_Viruses,VP,155335.6481,3728055.556,17554.75693,0.963098883,LM_AR
CR,1,1,T0_T3,c_Viruses,VP,190507.9365,571523.8095,NA,1,LM_AR_DIFF
CR,1,1,T0_T6,c_Viruses,VP,25812.9985,154877.991,95086.66679,0.068636758,LM_AR_DIFF
CR,1,1,T0_T9,c_Viruses,VP,77435.33546,696918.0191,51928.63755,0.526474814,LM_AR_DIFF
CR,1,1,T0_T12,c_Viruses,VP,89355.6606,1072267.927,30760.78429,0.737720755,LM_AR_DIFF
CR,1,1,T0_T24,c_Viruses,VP,91052.00881,2185248.211,13328.8089,0.92105089,LM_AR_DIFF
CR,2,1,T0_T3,c_Viruses,VP,62388.75918,187166.2775,NA,1,LM_AR_DIFF
CR,2,1,T0_T6,c_Viruses,VP,98022.8443,588137.0658,20573.34864,0.957807654,LM_AR_DIFF
CR,2,1,T0_T9,c_Viruses,VP,91751.18257,825760.6431,9887.556918,0.97730068,LM_AR_DIFF
CR,2,1,T0_T12,c_Viruses,VP,67961.4034,815536.8408,14874.10922,0.874354722,LM_AR_DIFF
CR,2,1,T0_T24,c_Viruses,VP,77091.25317,1850190.076,6959.05997,0.9684339,LM_AR_DIFF
CR,3,1,T0_T3,c_Viruses,VP,182682.0587,548046.176,NA,1,LM_AR_DIFF
CR,3,1,T0_T6,c_Viruses,VP,190721.9817,1144331.89,4641.851731,0.999407997,LM_AR_DIFF
CR,3,1,T0_T9,c_Viruses,VP,190899.8557,1718098.701,2078.437847,0.999762977,LM_AR_DIFF
CR,3,1,T0_T12,c_Viruses,VP,261296.8226,3135561.871,40661.41844,0.9322731,LM_AR_DIFF
CR,3,1,T0_T24,c_Viruses,VP,72286.28512,1734870.843,57333.10773,0.284391375,LM_AR_DIFF
CR,4,1,T0_T3,c_Viruses,VP,284571.4286,853714.2857,NA,1,LM_AR_DIFF
CR,4,1,T0_T6,c_Viruses,VP,291627.866,1749767.196,4074.036027,0.999804878,LM_AR_DIFF
CR,4,1,T0_T9,c_Viruses,VP,236919.224,2132273.016,31638.55332,0.965561627,LM_AR_DIFF
CR,4,1,T0_T12,c_Viruses,VP,254062.7866,3048753.439,20775.78555,0.980333464,LM_AR_DIFF
CR,4,1,T0_T24,c_Viruses,VP,107956.9444,2590966.667,43125.87386,0.610383454,LM_AR_DIFF
